,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
764,Opel,Mokka,1.2t S&s Business Elegance,2021,05,53.354 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935905,21900
765,Opel,Mokka,1.2t S&s Gs Line 130 At8,2021,,77.255 km,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-at8-en-tarragona.htm?id=8091641,19990
766,Opel,Mokka,1.2t S&s Black Edition 136,2023,01,5 km,Gasolina,136 CV,manual,5 puertas,NEGRO PERLA NERA,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-black-edition-136-en-cadiz.htm?id=8081896,23600
767,Opel,Mokka,X 1.6cdti S&s Excellence 4x2,2017,,78.405 km,Diesel,136 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-excellence-4x2-en-madrid.htm?id=8112215,12990
768,Opel,Mokka,-e Gs Line-e,2022,05,5 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-alicante.htm?id=7935793,29100
769,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-madrid.htm?id=7915755,10890
770,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-sevilla.htm?id=7889124,10890
771,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-malaga.htm?id=7781634,10890
772,Opel,Mokka,1.2t S&s Business Elegance,2022,01,14.235 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-badajoz.htm?id=8025532,19400
773,Opel,Mokka,-e Ultimate-e,2021,03,17.800 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Ikone Green,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka--e-ultimate-e-en-barcelona.htm?id=7919230,28400
774,Opel,Mokka,-e Gs Line-e,2022,05,6.600 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-jaen.htm?id=7728316,28850
775,Opel,Mokka,1.2t S&s Gs 130 At8,2022,,26.000 km,Gasolina,130 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-at8-en-barcelona.htm?id=8125084,19990
776,Opel,Mokka,X 1.4t S&s Color Edition 4x2,2017,,81.011 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-color-edition-4x2-en-malaga.htm?id=8083139,13200
777,Opel,Mokka,1.2t S&s Gs Line 130,2022,03,27.000 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-malaga.htm?id=8073290,20400
778,Opel,Mokka,1.2t S&s Edition,2023,01,15 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=8012093,20400
779,Opel,Mokka,1.2t S&s Edition,2023,01,10 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=7971199,20400
780,Opel,Mokka,X 1.4t S&s Selective 4x2,2017,,37.200 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-selective-4x2-en-malaga.htm?id=8117144,14899
781,Opel,Mokka,1.2t S&s Gs 130,2022,,34.000 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-en-valencia.htm?id=8112645,20900
782,Opel,Mokka,1.2t S&s Gs Line 130,2022,06,15.321 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-valencia.htm?id=7938086,25900
783,Opel,Mokka,1.2t S&s Business Elegance,2021,04,62.450 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935980,21900
784,Opel,Mokka,1.2t S&s Business Elegance,2021,05,53.354 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935905,21900
785,Opel,Mokka,1.2t S&s Gs Line 130 At8,2021,,77.255 km,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-at8-en-tarragona.htm?id=8091641,19990
786,Opel,Mokka,1.2t S&s Black Edition 136,2023,01,5 km,Gasolina,136 CV,manual,5 puertas,NEGRO PERLA NERA,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-black-edition-136-en-cadiz.htm?id=8081896,23600
787,Opel,Mokka,X 1.6cdti S&s Excellence 4x2,2017,,78.405 km,Diesel,136 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-excellence-4x2-en-madrid.htm?id=8112215,12990
788,Opel,Mokka,-e Gs Line-e,2022,05,5 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-alicante.htm?id=7935793,29100
789,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-madrid.htm?id=7915755,10890
790,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-sevilla.htm?id=7889124,10890
791,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-malaga.htm?id=7781634,10890
792,Opel,Mokka,1.2t S&s Business Elegance,2022,01,14.235 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-badajoz.htm?id=8025532,19400
793,Opel,Mokka,-e Ultimate-e,2021,03,17.800 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Ikone Green,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka--e-ultimate-e-en-barcelona.htm?id=7919230,28400
794,Opel,Mokka,-e Gs Line-e,2022,05,6.600 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-jaen.htm?id=7728316,28850
795,Opel,Mokka,1.2t S&s Gs 130 At8,2022,,26.000 km,Gasolina,130 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-at8-en-barcelona.htm?id=8125084,19990
796,Opel,Mokka,X 1.4t S&s Color Edition 4x2,2017,,81.011 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-color-edition-4x2-en-malaga.htm?id=8083139,13200
797,Opel,Mokka,1.2t S&s Gs Line 130,2022,03,27.000 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-malaga.htm?id=8073290,20400
798,Opel,Mokka,1.2t S&s Edition,2023,01,15 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=8012093,20400
799,Opel,Mokka,1.2t S&s Edition,2023,01,10 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=7971199,20400
800,Opel,Mokka,X 1.4t S&s Selective 4x2,2017,,37.200 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-selective-4x2-en-malaga.htm?id=8117144,14899
801,Opel,Mokka,1.2t S&s Gs 130,2022,,34.000 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-en-valencia.htm?id=8112645,20900
802,Opel,Mokka,1.2t S&s Gs Line 130,2022,06,15.321 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-valencia.htm?id=7938086,25900
803,Opel,Mokka,1.2t S&s Business Elegance,2021,04,62.450 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935980,21900
804,Opel,Mokka,1.2t S&s Business Elegance,2021,05,53.354 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935905,21900
805,Opel,Mokka,1.2t S&s Gs Line 130 At8,2021,,77.255 km,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-at8-en-tarragona.htm?id=8091641,19990
806,Opel,Mokka,1.2t S&s Black Edition 136,2023,01,5 km,Gasolina,136 CV,manual,5 puertas,NEGRO PERLA NERA,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-black-edition-136-en-cadiz.htm?id=8081896,23600
807,Opel,Mokka,X 1.6cdti S&s Excellence 4x2,2017,,78.405 km,Diesel,136 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-excellence-4x2-en-madrid.htm?id=8112215,12990
808,Opel,Mokka,-e Gs Line-e,2022,05,5 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-alicante.htm?id=7935793,29100
809,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-madrid.htm?id=7915755,10890
810,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-sevilla.htm?id=7889124,10890
811,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-malaga.htm?id=7781634,10890
812,Opel,Mokka,1.2t S&s Business Elegance,2022,01,14.235 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-badajoz.htm?id=8025532,19400
813,Opel,Mokka,-e Ultimate-e,2021,03,17.800 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Ikone Green,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka--e-ultimate-e-en-barcelona.htm?id=7919230,28400
814,Opel,Mokka,-e Gs Line-e,2022,05,6.600 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-jaen.htm?id=7728316,28850
815,Opel,Mokka,1.2t S&s Gs 130 At8,2022,,26.000 km,Gasolina,130 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-at8-en-barcelona.htm?id=8125084,19990
816,Opel,Mokka,X 1.4t S&s Color Edition 4x2,2017,,81.011 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-color-edition-4x2-en-malaga.htm?id=8083139,13200
817,Opel,Mokka,1.2t S&s Gs Line 130,2022,03,27.000 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-malaga.htm?id=8073290,20400
818,Opel,Mokka,1.2t S&s Edition,2023,01,15 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=8012093,20400
819,Opel,Mokka,1.2t S&s Edition,2023,01,10 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=7971199,20400
820,Opel,Mokka,X 1.4t S&s Selective 4x2,2017,,37.200 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-selective-4x2-en-malaga.htm?id=8117144,14899
821,Opel,Mokka,1.2t S&s Gs 130,2022,,34.000 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-en-valencia.htm?id=8112645,20900
822,Opel,Mokka,1.2t S&s Gs Line 130,2022,06,15.321 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-valencia.htm?id=7938086,25900
823,Opel,Mokka,1.2t S&s Business Elegance,2021,04,62.450 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935980,21900
824,Opel,Mokka,1.2t S&s Business Elegance,2021,05,53.354 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935905,21900
825,Opel,Mokka,1.2t S&s Gs Line 130 At8,2021,,77.255 km,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-at8-en-tarragona.htm?id=8091641,19990
826,Opel,Mokka,1.2t S&s Black Edition 136,2023,01,5 km,Gasolina,136 CV,manual,5 puertas,NEGRO PERLA NERA,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-black-edition-136-en-cadiz.htm?id=8081896,23600
827,Opel,Mokka,X 1.6cdti S&s Excellence 4x2,2017,,78.405 km,Diesel,136 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-excellence-4x2-en-madrid.htm?id=8112215,12990
828,Opel,Mokka,-e Gs Line-e,2022,05,5 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-alicante.htm?id=7935793,29100
829,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-madrid.htm?id=7915755,10890
830,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-sevilla.htm?id=7889124,10890
831,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-malaga.htm?id=7781634,10890
832,Opel,Mokka,1.2t S&s Business Elegance,2022,01,14.235 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-badajoz.htm?id=8025532,19400
833,Opel,Mokka,-e Ultimate-e,2021,03,17.800 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Ikone Green,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka--e-ultimate-e-en-barcelona.htm?id=7919230,28400
834,Opel,Mokka,-e Gs Line-e,2022,05,6.600 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-jaen.htm?id=7728316,28850
835,Opel,Mokka,1.2t S&s Gs 130 At8,2022,,26.000 km,Gasolina,130 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-at8-en-barcelona.htm?id=8125084,19990
836,Opel,Mokka,X 1.4t S&s Color Edition 4x2,2017,,81.011 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-color-edition-4x2-en-malaga.htm?id=8083139,13200
837,Opel,Mokka,1.2t S&s Gs Line 130,2022,03,27.000 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-malaga.htm?id=8073290,20400
838,Opel,Mokka,1.2t S&s Edition,2023,01,15 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=8012093,20400
839,Opel,Mokka,1.2t S&s Edition,2023,01,10 km,Gasolina,100 CV,manual,5 puertas,Kontrast Grey,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-badajoz.htm?id=7971199,20400
840,Opel,Mokka,X 1.4t S&s Selective 4x2,2017,,37.200 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-selective-4x2-en-malaga.htm?id=8117144,14899
841,Opel,Mokka,1.2t S&s Gs 130,2022,,34.000 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-en-valencia.htm?id=8112645,20900
842,Opel,Mokka,1.2t S&s Gs Line 130,2022,06,15.321 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-en-valencia.htm?id=7938086,25900
843,Opel,Mokka,1.2t S&s Business Elegance,2021,04,62.450 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935980,21900
844,Opel,Mokka,1.2t S&s Business Elegance,2021,05,53.354 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-alicante.htm?id=7935905,21900
845,Opel,Mokka,1.2t S&s Gs Line 130 At8,2021,,77.255 km,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-line-130-at8-en-tarragona.htm?id=8091641,19990
846,Opel,Mokka,1.2t S&s Black Edition 136,2023,01,5 km,Gasolina,136 CV,manual,5 puertas,NEGRO PERLA NERA,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-black-edition-136-en-cadiz.htm?id=8081896,23600
847,Opel,Mokka,X 1.6cdti S&s Excellence 4x2,2017,,78.405 km,Diesel,136 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-16cdti-s_s-excellence-4x2-en-madrid.htm?id=8112215,12990
848,Opel,Mokka,-e Gs Line-e,2022,05,5 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-alicante.htm?id=7935793,29100
849,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-madrid.htm?id=7915755,10890
850,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-sevilla.htm?id=7889124,10890
851,Opel,Mokka,1.4t S&s Selective 4x2,2016,02,77.000 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x2-en-malaga.htm?id=7781634,10890
852,Opel,Mokka,1.2t S&s Business Elegance,2022,01,14.235 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-business-elegance-en-badajoz.htm?id=8025532,19400
853,Opel,Mokka,-e Ultimate-e,2021,03,17.800 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Ikone Green,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka--e-ultimate-e-en-barcelona.htm?id=7919230,28400
854,Opel,Mokka,-e Gs Line-e,2022,05,6.600 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-line-e-en-jaen.htm?id=7728316,28850
855,Opel,Mokka,1.2t S&s Gs 130 At8,2022,,26.000 km,Gasolina,130 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-12t-s_s-gs-130-at8-en-barcelona.htm?id=8125084,19990
856,Opel,Mokka,X 1.4t S&s Color Edition 4x2,2017,,81.011 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-color-edition-4x2-en-malaga.htm?id=8083139,13200
