,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
907,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
908,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
909,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
910,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
911,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
912,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
913,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
914,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
915,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
916,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
917,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
918,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
919,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
920,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
921,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
922,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
923,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
924,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
925,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
926,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
927,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
928,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
929,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
930,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
931,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
932,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
933,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
934,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
935,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
936,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
937,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
938,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
939,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
940,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
941,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
942,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
943,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
944,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
945,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
946,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
947,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
948,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
949,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
950,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
951,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
952,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
953,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
954,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
955,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
956,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
957,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
958,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
959,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
960,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
961,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
962,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
963,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
964,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
965,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
966,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
967,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
968,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
969,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
970,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
971,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
972,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
973,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
974,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
975,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
976,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
977,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
978,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
979,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
980,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
981,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
982,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
983,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
984,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
985,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
986,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
987,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
988,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
989,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
990,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
991,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
992,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
993,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
994,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
995,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
996,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
997,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
998,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
999,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1000,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1001,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
1002,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
